질문,답변
전주한지문화축제에서 어떤 종류의 전시물과 볼거리가 제공되나요?,"1997년에 처음 개최된 전주한지문화축제는 해마다 5월경에 한지를 주제로 열리는 전주의 문화축제다. 이 축제는 독특한 아름다움을 가진 한지의 우수성을 대내외에 전하고 한지의 명산지인 전주의 명성을 알리기 위해 개최되고 있다. 행사에서는 조선시대 한지 생활용품 유물 전시회와 한글 고전소설 완판본과 고전소설, 고문헌 등 다양한 볼거리가 준비되어 있다. 또한 시민들과 함께 즐길 수 있는 한지 제작 체험이나 한지공예, 종이 장터, 청소년 어울마당 등 남녀노소가 즐길 수 있는 축제로 거듭나고 있다."
전주한지문화축제에서 어떤 종류의 활동이 시민들과 함께 즐길 수 있는지 예를 들어 어떤 것들이 있나요?,"1997년에 처음 개최된 전주한지문화축제는 해마다 5월경에 한지를 주제로 열리는 전주의 문화축제다. 이 축제는 독특한 아름다움을 가진 한지의 우수성을 대내외에 전하고 한지의 명산지인 전주의 명성을 알리기 위해 개최되고 있다. 행사에서는 조선시대 한지 생활용품 유물 전시회와 한글 고전소설 완판본과 고전소설, 고문헌 등 다양한 볼거리가 준비되어 있다. 또한 시민들과 함께 즐길 수 있는 한지 제작 체험이나 한지공예, 종이 장터, 청소년 어울마당 등 남녀노소가 즐길 수 있는 축제로 거듭나고 있다."
왕과의 산책'은 어떤 프로그램인가요?,"전주 경기전 ‘왕과의 산책’은 경기전을 거닐며 사실감 있는 단막 연극을 보면서 경기전 속 문화재에 얽힌 역사적 사실을 일깨울 수 있는 역사해설 프로그램입니다.
참여자는 경기전 터줏대감 캐릭터를 만나 함께 홍살문, 정전, 전주사고, 예종대왕태실 및 비, 조경묘, 부속채, 어정 등 경기전 곳곳에서 영조, 정조, 종사관, 수문장, 충의군, 집필화사, 동참화원, 손홍록, 안의, 오희길, 지관, 상궁, 나인 등 다채로운 조선시대 캐릭터를 만나며 이머시브 연극을 즐길 수 있습니다.
밤의 경기전에서 펼쳐지는 사실감 있는 연극은 마치 시간 여행을 온 것 같은 환상적인 경험을 선사하고, 우리가 문화재에 대해 알아야 하고 지켜야 하는 이유에 대해서도 새롭게 일깨워 줍니다.
‘왕과의 산책’은 2018년에 첫선을 보인 이후 5년 간 경기전을 밝히며 많은 관객을 맞이하고, 관객들로부터 꾸준한 사랑을 받으며 스테디셀러 프로그램으로 자리잡았습니다."
왕과의 산책'에서 참여자들은 경기전에서 어떤 경험을 할 수 있나요?,"전주 경기전 ‘왕과의 산책’은 경기전을 거닐며 사실감 있는 단막 연극을 보면서 경기전 속 문화재에 얽힌 역사적 사실을 일깨울 수 있는 역사해설 프로그램입니다.
참여자는 경기전 터줏대감 캐릭터를 만나 함께 홍살문, 정전, 전주사고, 예종대왕태실 및 비, 조경묘, 부속채, 어정 등 경기전 곳곳에서 영조, 정조, 종사관, 수문장, 충의군, 집필화사, 동참화원, 손홍록, 안의, 오희길, 지관, 상궁, 나인 등 다채로운 조선시대 캐릭터를 만나며 이머시브 연극을 즐길 수 있습니다.
밤의 경기전에서 펼쳐지는 사실감 있는 연극은 마치 시간 여행을 온 것 같은 환상적인 경험을 선사하고, 우리가 문화재에 대해 알아야 하고 지켜야 하는 이유에 대해서도 새롭게 일깨워 줍니다.
‘왕과의 산책’은 2018년에 첫선을 보인 이후 5년 간 경기전을 밝히며 많은 관객을 맞이하고, 관객들로부터 꾸준한 사랑을 받으며 스테디셀러 프로그램으로 자리잡았습니다."
왕과의 산책'에서 어떤 조선시대 캐릭터들을 만날 수 있나요?,"전주 경기전 ‘왕과의 산책’은 경기전을 거닐며 사실감 있는 단막 연극을 보면서 경기전 속 문화재에 얽힌 역사적 사실을 일깨울 수 있는 역사해설 프로그램입니다.
참여자는 경기전 터줏대감 캐릭터를 만나 함께 홍살문, 정전, 전주사고, 예종대왕태실 및 비, 조경묘, 부속채, 어정 등 경기전 곳곳에서 영조, 정조, 종사관, 수문장, 충의군, 집필화사, 동참화원, 손홍록, 안의, 오희길, 지관, 상궁, 나인 등 다채로운 조선시대 캐릭터를 만나며 이머시브 연극을 즐길 수 있습니다.
밤의 경기전에서 펼쳐지는 사실감 있는 연극은 마치 시간 여행을 온 것 같은 환상적인 경험을 선사하고, 우리가 문화재에 대해 알아야 하고 지켜야 하는 이유에 대해서도 새롭게 일깨워 줍니다.
‘왕과의 산책’은 2018년에 첫선을 보인 이후 5년 간 경기전을 밝히며 많은 관객을 맞이하고, 관객들로부터 꾸준한 사랑을 받으며 스테디셀러 프로그램으로 자리잡았습니다."
왕과의 산책'에서 어떤 경험을 제공하며 어떤 느낌을 줄까요?,"전주 경기전 ‘왕과의 산책’은 경기전을 거닐며 사실감 있는 단막 연극을 보면서 경기전 속 문화재에 얽힌 역사적 사실을 일깨울 수 있는 역사해설 프로그램입니다.
참여자는 경기전 터줏대감 캐릭터를 만나 함께 홍살문, 정전, 전주사고, 예종대왕태실 및 비, 조경묘, 부속채, 어정 등 경기전 곳곳에서 영조, 정조, 종사관, 수문장, 충의군, 집필화사, 동참화원, 손홍록, 안의, 오희길, 지관, 상궁, 나인 등 다채로운 조선시대 캐릭터를 만나며 이머시브 연극을 즐길 수 있습니다.
밤의 경기전에서 펼쳐지는 사실감 있는 연극은 마치 시간 여행을 온 것 같은 환상적인 경험을 선사하고, 우리가 문화재에 대해 알아야 하고 지켜야 하는 이유에 대해서도 새롭게 일깨워 줍니다.
‘왕과의 산책’은 2018년에 첫선을 보인 이후 5년 간 경기전을 밝히며 많은 관객을 맞이하고, 관객들로부터 꾸준한 사랑을 받으며 스테디셀러 프로그램으로 자리잡았습니다."
왕과의 산책'이 시작된 연도와 그 후의 성공적인 여정에 대해서 설명해주세요.,"전주 경기전 ‘왕과의 산책’은 경기전을 거닐며 사실감 있는 단막 연극을 보면서 경기전 속 문화재에 얽힌 역사적 사실을 일깨울 수 있는 역사해설 프로그램입니다.
참여자는 경기전 터줏대감 캐릭터를 만나 함께 홍살문, 정전, 전주사고, 예종대왕태실 및 비, 조경묘, 부속채, 어정 등 경기전 곳곳에서 영조, 정조, 종사관, 수문장, 충의군, 집필화사, 동참화원, 손홍록, 안의, 오희길, 지관, 상궁, 나인 등 다채로운 조선시대 캐릭터를 만나며 이머시브 연극을 즐길 수 있습니다.
밤의 경기전에서 펼쳐지는 사실감 있는 연극은 마치 시간 여행을 온 것 같은 환상적인 경험을 선사하고, 우리가 문화재에 대해 알아야 하고 지켜야 하는 이유에 대해서도 새롭게 일깨워 줍니다.
‘왕과의 산책’은 2018년에 첫선을 보인 이후 5년 간 경기전을 밝히며 많은 관객을 맞이하고, 관객들로부터 꾸준한 사랑을 받으며 스테디셀러 프로그램으로 자리잡았습니다."
풍패지향 왕의 궁원을 거닐다'라는 슬로건으로 진행되는 전주문화재야행은 어떤 주제와 목적으로 열리나요?,"‘풍패지향 왕의 궁원을 거닐다’라는 슬로건으로 진행되는 프로그램은 8夜(야)를 주제로 24개의 세부 프로그램으로 진행된다. 전주문화재야행은 세부 프로그램별 매력을 더욱 강화하고, 직접 참여 프로그램을 확대함으로써, 시민과 관광객이 함께 소통하며 즐길 수 있도록 구성된다. 또한, 6개 주력 프로그램을 통해 참여자에게 시대를 반영한 전주의 문화를 선사함은 물론, 계속 찾고 싶은 축제로 자리매김하고자 한다."
전주문화재야행 행사의 세부 프로그램은 몇 개로 구성되어 있나요?,"‘풍패지향 왕의 궁원을 거닐다’라는 슬로건으로 진행되는 프로그램은 8夜(야)를 주제로 24개의 세부 프로그램으로 진행된다. 전주문화재야행은 세부 프로그램별 매력을 더욱 강화하고, 직접 참여 프로그램을 확대함으로써, 시민과 관광객이 함께 소통하며 즐길 수 있도록 구성된다. 또한, 6개 주력 프로그램을 통해 참여자에게 시대를 반영한 전주의 문화를 선사함은 물론, 계속 찾고 싶은 축제로 자리매김하고자 한다."
전주문화재야행은 어떻게 시민과 관광객과의 상호작용을 강화하고 소통을 촉진하려고 노력하고 있나요?,"‘풍패지향 왕의 궁원을 거닐다’라는 슬로건으로 진행되는 프로그램은 8夜(야)를 주제로 24개의 세부 프로그램으로 진행된다. 전주문화재야행은 세부 프로그램별 매력을 더욱 강화하고, 직접 참여 프로그램을 확대함으로써, 시민과 관광객이 함께 소통하며 즐길 수 있도록 구성된다. 또한, 6개 주력 프로그램을 통해 참여자에게 시대를 반영한 전주의 문화를 선사함은 물론, 계속 찾고 싶은 축제로 자리매김하고자 한다."
전주문화재야행 행사의 주력 프로그램 중에서 어떤 종류의 문화와 경험을 제공하나요?,"‘풍패지향 왕의 궁원을 거닐다’라는 슬로건으로 진행되는 프로그램은 8夜(야)를 주제로 24개의 세부 프로그램으로 진행된다. 전주문화재야행은 세부 프로그램별 매력을 더욱 강화하고, 직접 참여 프로그램을 확대함으로써, 시민과 관광객이 함께 소통하며 즐길 수 있도록 구성된다. 또한, 6개 주력 프로그램을 통해 참여자에게 시대를 반영한 전주의 문화를 선사함은 물론, 계속 찾고 싶은 축제로 자리매김하고자 한다."
전주문화재야행은 어떤 방식으로 계속해서 관객과 참여자들에게 매력을 제공하려고 노력하고 있나요?,"‘풍패지향 왕의 궁원을 거닐다’라는 슬로건으로 진행되는 프로그램은 8夜(야)를 주제로 24개의 세부 프로그램으로 진행된다. 전주문화재야행은 세부 프로그램별 매력을 더욱 강화하고, 직접 참여 프로그램을 확대함으로써, 시민과 관광객이 함께 소통하며 즐길 수 있도록 구성된다. 또한, 6개 주력 프로그램을 통해 참여자에게 시대를 반영한 전주의 문화를 선사함은 물론, 계속 찾고 싶은 축제로 자리매김하고자 한다."
"경기전 사람들' 프로그램은 어떤 목적을 가지고 있으며, 어떻게 역사와 재미를 결합하려고 노력하고 있나요?","‘경기전 사람들’은 전주와 조선의 역사를 스토리텔링하고 캐릭터들이 각각의 놀이 콘텐츠를 통해 시민과 관광객에게 다가가 함께 놀면서 역사의식 고취와 재미를 동시에 추구하는 힐링 역사 프로그램이다. 또한, 흔히 알려졌던 역사가 아닌, 지역내에 전해 내려오는 정보를 끄집어내 이슈화시켜 유·무형의 역사에 대해 연구, 발굴해 유쾌하게 풀어낸 역사 이야기다."
경기전 사람들' 프로그램은 어떤 방식으로 전주와 조선의 역사를 스토리텔링하고 있나요?,"‘경기전 사람들’은 전주와 조선의 역사를 스토리텔링하고 캐릭터들이 각각의 놀이 콘텐츠를 통해 시민과 관광객에게 다가가 함께 놀면서 역사의식 고취와 재미를 동시에 추구하는 힐링 역사 프로그램이다. 또한, 흔히 알려졌던 역사가 아닌, 지역내에 전해 내려오는 정보를 끄집어내 이슈화시켜 유·무형의 역사에 대해 연구, 발굴해 유쾌하게 풀어낸 역사 이야기다."
"경기전 사람들' 프로그램에서는 어떤 종류의 놀이 콘텐츠가 제공되며, 어떻게 관객들과 상호작용하고 있나요?","‘경기전 사람들’은 전주와 조선의 역사를 스토리텔링하고 캐릭터들이 각각의 놀이 콘텐츠를 통해 시민과 관광객에게 다가가 함께 놀면서 역사의식 고취와 재미를 동시에 추구하는 힐링 역사 프로그램이다. 또한, 흔히 알려졌던 역사가 아닌, 지역내에 전해 내려오는 정보를 끄집어내 이슈화시켜 유·무형의 역사에 대해 연구, 발굴해 유쾌하게 풀어낸 역사 이야기다."
경기전 사람들' 프로그램은 어떻게 지역내에 전해 내려오는 정보를 활용하여 역사 이야기를 제공하고 있나요?,"‘경기전 사람들’은 전주와 조선의 역사를 스토리텔링하고 캐릭터들이 각각의 놀이 콘텐츠를 통해 시민과 관광객에게 다가가 함께 놀면서 역사의식 고취와 재미를 동시에 추구하는 힐링 역사 프로그램이다. 또한, 흔히 알려졌던 역사가 아닌, 지역내에 전해 내려오는 정보를 끄집어내 이슈화시켜 유·무형의 역사에 대해 연구, 발굴해 유쾌하게 풀어낸 역사 이야기다."
경기전 사람들' 프로그램을 통해 어떤 유형의 역사에 대한 연구와 발굴이 이루어지고 있나요?,"‘경기전 사람들’은 전주와 조선의 역사를 스토리텔링하고 캐릭터들이 각각의 놀이 콘텐츠를 통해 시민과 관광객에게 다가가 함께 놀면서 역사의식 고취와 재미를 동시에 추구하는 힐링 역사 프로그램이다. 또한, 흔히 알려졌던 역사가 아닌, 지역내에 전해 내려오는 정보를 끄집어내 이슈화시켜 유·무형의 역사에 대해 연구, 발굴해 유쾌하게 풀어낸 역사 이야기다."
전북청소년 영화제는 어떤 대상을 대상으로 하는 행사인가요?,"전북청소년 영화제는 전라북도내에 있는 청소년을 대상으로 꿈을 촬영하고 펼칠 수 있게 도와주는 행사로 초,중,고등학생들이 직접 촬영한 작품을 가지고 출품하여 평가를 받고 시상식을 통해 더욱 꿈에 한걸을 다가갈수 있게 도움을 주는 뜻깊은 행사이다."
"전북청소년 영화제 행사의 주요 목적은 무엇이며, 어떻게 학생들의 꿈을 촬영하고 펼칠 수 있게 도와주나요?","전북청소년 영화제는 전라북도내에 있는 청소년을 대상으로 꿈을 촬영하고 펼칠 수 있게 도와주는 행사로 초,중,고등학생들이 직접 촬영한 작품을 가지고 출품하여 평가를 받고 시상식을 통해 더욱 꿈에 한걸을 다가갈수 있게 도움을 주는 뜻깊은 행사이다."
"어떤 학생들이 전북청소년 영화제 행사에 참여하며, 어떤 작품을 출품하게 되나요?","전북청소년 영화제는 전라북도내에 있는 청소년을 대상으로 꿈을 촬영하고 펼칠 수 있게 도와주는 행사로 초,중,고등학생들이 직접 촬영한 작품을 가지고 출품하여 평가를 받고 시상식을 통해 더욱 꿈에 한걸을 다가갈수 있게 도움을 주는 뜻깊은 행사이다."
"전북청소년 영화제에 출품한 작품들은 어떻게 평가되며, 시상식은 어떤 의미를 가지고 있나요?","전북청소년 영화제는 전라북도내에 있는 청소년을 대상으로 꿈을 촬영하고 펼칠 수 있게 도와주는 행사로 초,중,고등학생들이 직접 촬영한 작품을 가지고 출품하여 평가를 받고 시상식을 통해 더욱 꿈에 한걸을 다가갈수 있게 도움을 주는 뜻깊은 행사이다."
전북청소년 영화제를 통해 학생들은 어떻게 꿈을 실현하고 발전할 수 있는 기회를 얻을 수 있나요?,"전북청소년 영화제는 전라북도내에 있는 청소년을 대상으로 꿈을 촬영하고 펼칠 수 있게 도와주는 행사로 초,중,고등학생들이 직접 촬영한 작품을 가지고 출품하여 평가를 받고 시상식을 통해 더욱 꿈에 한걸을 다가갈수 있게 도움을 주는 뜻깊은 행사이다."
전주가맥축제는 어떤 종류의 축제인가요?,"전주에서 보는 흔한 풍경, 가맥문화를 만나는 축제이자, 오늘 만든 맥주를 오늘 마실 수 있는 유일한 축제. 하이트 공장에서 당일 생산된 가장 신선한 맥주를 마시며 즐기는 준비된 다양한 공연과 이벤트, 가맥축제의 랜드마크인 얼음연못까지! 전주가맥축제는 시민들이 문화,예술을 향유하고 능동적으로 참여하는 모두를 위한 축제입니다."
전주가맥축제에서 어떤 특별한 경험을 할 수 있나요?,"전주에서 보는 흔한 풍경, 가맥문화를 만나는 축제이자, 오늘 만든 맥주를 오늘 마실 수 있는 유일한 축제. 하이트 공장에서 당일 생산된 가장 신선한 맥주를 마시며 즐기는 준비된 다양한 공연과 이벤트, 가맥축제의 랜드마크인 얼음연못까지! 전주가맥축제는 시민들이 문화,예술을 향유하고 능동적으로 참여하는 모두를 위한 축제입니다."
"얼음연못은 전주가맥축제의 어떤 랜드마크이며, 어떤 활동이 이루어지나요?","전주에서 보는 흔한 풍경, 가맥문화를 만나는 축제이자, 오늘 만든 맥주를 오늘 마실 수 있는 유일한 축제. 하이트 공장에서 당일 생산된 가장 신선한 맥주를 마시며 즐기는 준비된 다양한 공연과 이벤트, 가맥축제의 랜드마크인 얼음연못까지! 전주가맥축제는 시민들이 문화,예술을 향유하고 능동적으로 참여하는 모두를 위한 축제입니다."
"전주가맥축제는 어떤 목적으로 개최되며, 어떤 참여자들을 대상으로 하는 행사인가요?","전주에서 보는 흔한 풍경, 가맥문화를 만나는 축제이자, 오늘 만든 맥주를 오늘 마실 수 있는 유일한 축제. 하이트 공장에서 당일 생산된 가장 신선한 맥주를 마시며 즐기는 준비된 다양한 공연과 이벤트, 가맥축제의 랜드마크인 얼음연못까지! 전주가맥축제는 시민들이 문화,예술을 향유하고 능동적으로 참여하는 모두를 위한 축제입니다."
"전주 얼티밋 뮤직 페스티벌은 어떤 이니셜을 가지고 있으며, 그 의미는 무엇인가요?","2016년부터 시작된 JUMF는‘JEONJU ULTIMATE MUSIC FESTIVAL’의 이니셜로, 'JUMP’의 동음이어를 응용해 관객, 스테이지, 그리고 페스티벌의 도약을 바라며 오늘날까지 달려오고 있습니다.
인디부터 오버까지, ROCK에서 HIP-HOP까지 다양한 장르의 국내외 최고 아티스트들과 축제를 함께 해주세요!"
전주 얼티밋 뮤직 페스티벌은 어떤 목적과 테마를 가지고 개최되고 있나요?,"2016년부터 시작된 JUMF는‘JEONJU ULTIMATE MUSIC FESTIVAL’의 이니셜로, 'JUMP’의 동음이어를 응용해 관객, 스테이지, 그리고 페스티벌의 도약을 바라며 오늘날까지 달려오고 있습니다.
인디부터 오버까지, ROCK에서 HIP-HOP까지 다양한 장르의 국내외 최고 아티스트들과 축제를 함께 해주세요!"
"전주 얼티밋 뮤직 페스티벌에서 어떤 종류의 음악 장르가 다루어지며, 어떤 아티스트들이 참여하나요?","2016년부터 시작된 JUMF는‘JEONJU ULTIMATE MUSIC FESTIVAL’의 이니셜로, 'JUMP’의 동음이어를 응용해 관객, 스테이지, 그리고 페스티벌의 도약을 바라며 오늘날까지 달려오고 있습니다.
인디부터 오버까지, ROCK에서 HIP-HOP까지 다양한 장르의 국내외 최고 아티스트들과 축제를 함께 해주세요!"
"전주 얼티밋 뮤직 페스티벌은 어떻게 관객과 스테이지, 페스티벌의 ""도약""을 의미하며 어떤 경험을 제공하고 있나요?","2016년부터 시작된 JUMF는‘JEONJU ULTIMATE MUSIC FESTIVAL’의 이니셜로, 'JUMP’의 동음이어를 응용해 관객, 스테이지, 그리고 페스티벌의 도약을 바라며 오늘날까지 달려오고 있습니다.
인디부터 오버까지, ROCK에서 HIP-HOP까지 다양한 장르의 국내외 최고 아티스트들과 축제를 함께 해주세요!"
전주 얼티밋 뮤직 페스티벌을 방문하는 관객들에게 어떤 즐거움과 활동을 제공하고 있나요?,"2016년부터 시작된 JUMF는‘JEONJU ULTIMATE MUSIC FESTIVAL’의 이니셜로, 'JUMP’의 동음이어를 응용해 관객, 스테이지, 그리고 페스티벌의 도약을 바라며 오늘날까지 달려오고 있습니다.
인디부터 오버까지, ROCK에서 HIP-HOP까지 다양한 장르의 국내외 최고 아티스트들과 축제를 함께 해주세요!"
전주 단오제는 어떤 목적과 목표를 가지고 열리는 축제인가요?,"전주단오제는 단오의 세시 풍속을 알리고 체험할 수 있는 전통문화의 교육의 장 마련과 더불어 전주단오만의 정체성을 보여주는 축제이다. 자발적인 주민참여와 지역 내 문화단체와의 협력을 통해 보다 풍성하고 시민친화적인 대동 시민축제 한마당으로 이루어지고 있다. 축제에서는 세계민속 춤 페스티벌, 민속놀이겨루기,  단오씨름대회, 단오공예체험 등 다양한 전통문화공연을 만날 수 있다. 축제를 통해 전통을 계승 발전시키고 지역 대표 문화콘텐츠로 알림과 동시에 지역을 널리 알리는 계리를 마련하고 있다."
전주 단오제는 어떤 방식으로 전통문화의 교육을 제공하며 관객들이 전통문화를 체험할 수 있도록 도와주나요?,"전주단오제는 단오의 세시 풍속을 알리고 체험할 수 있는 전통문화의 교육의 장 마련과 더불어 전주단오만의 정체성을 보여주는 축제이다. 자발적인 주민참여와 지역 내 문화단체와의 협력을 통해 보다 풍성하고 시민친화적인 대동 시민축제 한마당으로 이루어지고 있다. 축제에서는 세계민속 춤 페스티벌, 민속놀이겨루기,  단오씨름대회, 단오공예체험 등 다양한 전통문화공연을 만날 수 있다. 축제를 통해 전통을 계승 발전시키고 지역 대표 문화콘텐츠로 알림과 동시에 지역을 널리 알리는 계리를 마련하고 있다."
